FechaPrediccion(UTC)	Hora	Vel78m(m/s)	Dir_78m
2015/01/07 10:00 11.808839 329.35242
2015/01/07 11:00 11.41903 326.9651
2015/01/07 12:00 11.129106 324.907
2015/01/07 13:00 10.867382 324.13876
2015/01/07 14:00 10.6909895 324.13077
2015/01/07 15:00 10.518616 323.31534
2015/01/07 16:00 10.418212 323.55328
2015/01/07 17:00 10.416555 325.98453
2015/01/07 18:00 10.2136965 329.47678
2015/01/07 19:00 9.892103 331.44693
2015/01/07 20:00 9.489476 333.01065
2015/01/07 21:00 9.009583 333.52203
2015/01/07 22:00 8.546381 332.40933
2015/01/07 23:00 8.228293 331.12906
2015/01/08 00:00 6.472 320.83902
2015/01/08 01:00 6.3647184 315.79233
2015/01/08 02:00 6.3880334 312.31384
2015/01/08 03:00 6.3319874 313.24384
2015/01/08 04:00 6.016572 317.25323
2015/01/08 05:00 5.590846 319.86356
2015/01/08 06:00 5.0820165 323.6931
2015/01/08 07:00 4.4960375 324.74734
2015/01/08 08:00 3.698972 317.11386
2015/01/08 09:00 2.9714007 306.20312
2015/01/08 10:00 2.7490132 299.0166
2015/01/08 11:00 2.9388375 294.08728
2015/01/08 12:00 2.669955 289.915
2015/01/08 13:00 2.0936623 284.52686
2015/01/08 14:00 1.4062159 272.55234
2015/01/08 15:00 1.0188189 250.70596
2015/01/08 16:00 1.0700272 217.40997
2015/01/08 17:00 1.5061287 200.34485
2015/01/08 18:00 2.260757 189.0001
2015/01/08 19:00 3.2188327 186.6266
2015/01/08 20:00 4.321475 188.96063
2015/01/08 21:00 5.6008816 191.07495
2015/01/08 22:00 6.684291 197.80472
2015/01/08 23:00 7.514201 203.7834
2015/01/09 00:00 7.137667 207.8187
2015/01/09 01:00 8.025624 205.42888
2015/01/09 02:00 8.897312 204.12363
2015/01/09 03:00 9.559525 204.96606
2015/01/09 04:00 10.182308 207.68185
2015/01/09 05:00 10.628288 209.0907
2015/01/09 06:00 11.013208 214.75047
2015/01/09 07:00 11.048952 214.93834
2015/01/09 08:00 10.733018 217.81578
2015/01/09 09:00 10.124566 220.11488
2015/01/09 10:00 9.742173 230.83574
2015/01/09 11:00 10.14024 241.40675
2015/01/09 12:00 9.72431 235.81906
2015/01/09 13:00 9.134415 239.16505
2015/01/09 14:00 9.574078 249.93584
2015/01/09 15:00 9.933614 258.0956
2015/01/09 16:00 9.963542 256.48782
2015/01/09 17:00 10.538223 251.19336
2015/01/09 18:00 11.343195 249.05646
2015/01/09 19:00 11.63175 246.93475
2015/01/09 20:00 12.28287 244.02188
2015/01/09 21:00 13.036476 243.2108
2015/01/09 22:00 13.45138 239.59799
2015/01/09 23:00 13.426224 242.20042
2015/01/10 00:00 13.815909 225.3705
2015/01/10 01:00 14.655126 229.87045
2015/01/10 02:00 15.482439 237.42303
2015/01/10 03:00 15.946924 242.84952
2015/01/10 04:00 15.705861 246.3381
2015/01/10 05:00 14.872376 250.77922
2015/01/10 06:00 13.57797 255.32521
2015/01/10 07:00 12.08026 256.9865
2015/01/10 08:00 11.514088 257.88422
2015/01/10 09:00 11.229717 259.27316
2015/01/10 10:00 10.450963 262.99503
2015/01/10 11:00 9.14435 271.60617
2015/01/10 12:00 7.8736324 270.21826
2015/01/10 13:00 7.8331623 266.3204
2015/01/10 14:00 7.9130526 265.2715
2015/01/10 15:00 8.045283 264.75613
2015/01/10 16:00 8.044649 263.24017
2015/01/10 17:00 8.183153 259.16504
2015/01/10 18:00 8.537868 252.24913
2015/01/10 19:00 9.705024 246.69072
2015/01/10 20:00 10.353941 243.01982
2015/01/10 21:00 10.201811 237.53632
2015/01/10 22:00 10.554167 231.05858
2015/01/10 23:00 11.420713 224.10419
2015/01/11 00:00 12.191144 218.40555
2015/01/11 01:00 12.800661 225.29202
2015/01/11 02:00 13.051392 233.62077
2015/01/11 03:00 13.02567 243.14746
2015/01/11 04:00 12.943235 250.96826
2015/01/11 05:00 12.61127 255.60727
2015/01/11 06:00 12.091549 256.98376
2015/01/11 07:00 11.447748 256.95996
2015/01/11 08:00 10.729115 256.8945
2015/01/11 09:00 10.099118 256.60974
2015/01/11 10:00 9.485947 254.48604
2015/01/11 11:00 8.8367 250.75923
2015/01/11 12:00 8.143695 245.78416
2015/01/11 13:00 7.7113028 238.37938
2015/01/11 14:00 7.8662777 230.16603
2015/01/11 15:00 8.336149 226.08649
2015/01/11 16:00 7.8394747 225.55122
2015/01/11 17:00 7.631367 218.83316
2015/01/11 18:00 7.495499 208.69864
2015/01/11 19:00 5.783539 207.98755
2015/01/11 20:00 3.6322117 234.30229
2015/01/11 21:00 4.780718 291.05212
2015/01/11 22:00 7.8898406 312.09906
2015/01/11 23:00 11.482114 333.21848
2015/01/12 00:00 12.026781 307.73752
2015/01/12 01:00 11.749037 311.37827
2015/01/12 02:00 10.652145 317.64136
2015/01/12 03:00 9.549371 332.6122
2015/01/12 04:00 7.5048366 333.76904
2015/01/12 05:00 5.4185576 315.83566
2015/01/12 06:00 3.573237 272.1521
2015/01/12 07:00 6.0118055 243.7628
2015/01/12 08:00 7.7246127 243.09653
