CodParque	NombreParque	Latitud	Longitud	Altura	
036	PANTE01	44.5094	28.3208	78


"FechaPrediccion(UTC)"	"T2M(C)"	"Vel10m(m/s)"	"Dir_10m"	"Vel_Hm(m/s)"	"Dir_Hm"
2015-01-05 7:00	0	5.060194	253.4203	10.645664	258.58563
2015-01-05 8:00	0	5.3532333	253.5634	10.84761	258.75964
2015-01-05 9:00	0	6.0032167	258.77072	10.044666	262.16223
2015-01-05 10:00	0	6.471151	269.81726	9.600097	274.25403
2015-01-05 11:00	0	6.0221024	277.96814	9.534606	284.2919
2015-01-05 12:00	0	5.9396634	280.78003	9.24872	288.54074
2015-01-05 13:00	0	5.8034873	282.92468	9.042201	291.19183
2015-01-05 14:00	0	5.2967496	284.01453	9.08369	294.3811
2015-01-05 15:00	0	4.801583	282.78326	8.799847	296.18057
2015-01-05 16:00	0	4.4267516	281.5929	8.2955675	296.97128
2015-01-05 17:00	0	4.125944	279.67664	7.7914696	296.43784
2015-01-05 18:00	0	3.8880067	277.76562	7.352162	296.72635
2015-01-05 19:00	0	3.746672	278.0291	7.069188	299.24234
2015-01-05 20:00	0	3.7417853	281.06754	7.169643	302.5549
2015-01-05 21:00	0	3.8443258	287.85962	7.614644	307.64825
2015-01-05 22:00	0	3.322526	295.4156	7.931687	313.94205
2015-01-05 23:00	0	3.5654888	300.41788	8.13044	316.6778
2015-01-06 0:00	0	2.896154	300.60495	7.4043303	325.52203
2015-01-06 1:00	0	2.9448268	308.4607	7.400924	330.95566
2015-01-06 2:00	0	3.158191	317.2044	8.135124	334.18164
2015-01-06 3:00	0	3.1961744	319.67282	8.267672	336.00772
2015-01-06 4:00	0	2.9485345	317.81805	7.7585726	335.67917
2015-01-06 5:00	0	3.0020936	314.4058	7.822562	333.73248
2015-01-06 6:00	0	3.492689	312.94135	8.229855	331.32373
2015-01-06 7:00	0	4.202246	312.82117	8.509529	329.93887
2015-01-06 8:00	0	4.5933137	317.3262	7.9177184	328.93277
2015-01-06 9:00	0	5.1840954	322.1976	7.4559503	328.0705
2015-01-06 10:00	0	5.8918247	325.43332	7.6333866	328.53177
2015-01-06 11:00	0	6.6551223	325.14014	8.438132	327.16547
2015-01-06 12:00	0	7.0553083	322.7361	9.315058	324.57864
2015-01-06 13:00	0	7.862578	325.72888	10.812912	329.06537
2015-01-06 14:00	0	8.539641	329.91714	12.353339	332.67117
2015-01-06 15:00	0	8.750849	330.28668	12.847682	333.12717
2015-01-06 16:00	0	9.079701	331.77048	13.022058	334.28433
2015-01-06 17:00	0	9.085527	333.0044	12.986893	335.48883
2015-01-06 18:00	0	8.856423	333.9844	12.686563	336.45874
2015-01-06 19:00	0	8.658817	333.86362	12.50732	336.41223
2015-01-06 20:00	0	8.499474	333.3925	12.365069	336.0539
2015-01-06 21:00	0	8.2204	332.89633	11.9943285	335.51752
2015-01-06 22:00	0	8.0675125	331.922	11.770788	334.53012
2015-01-06 23:00	0	8.085062	330.99472	11.726831	333.5874
2015-01-07 0:00	0	7.406602	328.9568	10.991866	331.91202
2015-01-07 1:00	0	7.3569355	326.51486	11.016916	329.82736
2015-01-07 2:00	0	7.5427003	326.34137	11.249769	329.80063
2015-01-07 3:00	0	7.823464	327.97498	11.458987	331.24414
2015-01-07 4:00	0	8.280122	329.07532	11.811516	332.12332
2015-01-07 5:00	0	8.40581	330.1472	11.971819	333.1023
2015-01-07 6:00	0	8.317591	329.54102	11.94959	332.65515
2015-01-07 7:00	0	8.698321	328.69528	12.014126	331.56302
2015-01-07 8:00	0	9.2282505	328.49576	12.30854	330.93466
2015-01-07 9:00	0	9.322415	328.68484	12.1464205	330.77692
2015-01-07 10:00	0	9.208558	327.4419	11.808839	329.35242
2015-01-07 11:00	0	9.032922	325.0853	11.41903	326.9651
2015-01-07 12:00	0	8.857382	322.85648	11.129106	324.907
2015-01-07 13:00	0	8.530823	321.8707	10.867382	324.13876
2015-01-07 14:00	0	8.051226	321.5901	10.6909895	324.13077
2015-01-07 15:00	0	7.2664695	320.05392	10.518616	323.31534
2015-01-07 16:00	0	6.7767463	319.27444	10.418212	323.55328
2015-01-07 17:00	0	6.6174784	321.25238	10.416555	325.98453
2015-01-07 18:00	0	6.401018	324.60544	10.2136965	329.47678
2015-01-07 19:00	0	6.0840626	326.22055	9.892103	331.44693
2015-01-07 20:00	0	5.7506313	327.34833	9.489476	333.01065
2015-01-07 21:00	0	5.3739505	327.00497	9.009583	333.52203
2015-01-07 22:00	0	5.0142894	325.18765	8.546381	332.40933
2015-01-07 23:00	0	4.70984	322.87592	8.228293	331.12906
2015-01-08 0:00	0	3.206802	305.9291	6.472	320.83902
2015-01-08 1:00	0	3.265476	300.566	6.3647184	315.79233
2015-01-08 2:00	0	3.2613986	297.53412	6.3880334	312.31384
2015-01-08 3:00	0	3.164372	298.4565	6.3319874	313.24384
2015-01-08 4:00	0	2.709535	300.86337	6.016572	317.25323
2015-01-08 5:00	0	2.4237058	301.98764	5.590846	319.86356
2015-01-08 6:00	0	2.3404295	304.26175	5.0820165	323.6931
2015-01-08 7:00	0	2.5498216	302.68466	4.4960375	324.74734
2015-01-08 8:00	0	2.3506565	300.3097	3.698972	317.11386
2015-01-08 9:00	0	2.6337366	300.89178	2.9714007	306.20312
2015-01-08 10:00	0	2.709444	296.94598	2.7490132	299.0166
2015-01-08 11:00	0	2.860168	292.95752	2.9388375	294.08728
2015-01-08 12:00	0	2.660918	289.63828	2.669955	289.915
2015-01-08 13:00	0	2.126543	285.65787	2.0936623	284.52686
2015-01-08 14:00	0	1.4513797	277.07742	1.4062159	272.55234
2015-01-08 15:00	0	0.966388	264.1157	1.0188189	250.70596
2015-01-08 16:00	0	0.6240532	241.73474	1.0700272	217.40997
2015-01-08 17:00	0	0.58201826	207.77957	1.5061287	200.34485
2015-01-08 18:00	0	1.0025707	175.47087	2.260757	189.0001
2015-01-08 19:00	0	1.5958802	169.02422	3.2188327	186.6266
2015-01-08 20:00	0	2.170054	171.68314	4.321475	188.96063
2015-01-08 21:00	0	2.7460015	176.00462	5.6008816	191.07495
2015-01-08 22:00	0	3.1190264	185.59332	6.684291	197.80472
2015-01-08 23:00	0	3.1316242	192.89688	7.514201	203.7834
2015-01-09 0:00	0	2.7433848	194.21613	7.137667	207.8187
2015-01-09 1:00	0	2.8877323	189.79036	8.025624	205.42888
2015-01-09 2:00	0	3.0472023	189.38928	8.897312	204.12363
2015-01-09 3:00	0	3.1940234	192.44879	9.559525	204.96606
2015-01-09 4:00	0	3.315154	198.33243	10.182308	207.68185
2015-01-09 5:00	0	3.7162669	202.27135	10.628288	209.0907
2015-01-09 6:00	0	4.271076	210.79146	11.013208	214.75047
2015-01-09 7:00	0	4.9327993	210.80531	11.048952	214.93834
2015-01-09 8:00	0	5.347619	215.38081	10.733018	217.81578
2015-01-09 9:00	0	5.8300047	218.90182	10.124566	220.11488
2015-01-09 10:00	0	6.333761	230.54466	9.742173	230.83574
2015-01-09 11:00	0	6.992448	242.30438	10.14024	241.40675
2015-01-09 12:00	0	6.295443	237.55331	9.72431	235.81906
2015-01-09 13:00	0	5.9302855	239.97282	9.134415	239.16505
2015-01-09 14:00	0	5.6709027	250.94063	9.574078	249.93584
2015-01-09 15:00	0	5.625931	260.52527	9.933614	258.0956
2015-01-09 16:00	0	5.1626334	259.94693	9.963542	256.48782
2015-01-09 17:00	0	5.0825505	255.1041	10.538223	251.19336
2015-01-09 18:00	0	5.337061	252.33556	11.343195	249.05646
2015-01-09 19:00	0	5.097385	249.72313	11.63175	246.93475
2015-01-09 20:00	0	5.086411	246.16405	12.28287	244.02188
2015-01-09 21:00	0	5.314464	244.37024	13.036476	243.2108
